model,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.49645390070921985,0.3721461187214612,0.5191082802547771,0.43351063829787234,0.6246438149513912
XGBoost,1.0,1.0,1.0,1.0,1.0
